Country Name,Country Code,Year,Adjusted net national income (current US$),Adjusted savings: consumption of fixed capital (current US$),Broad money (% of GDP),CO2 emissions (kg per PPP $ of GDP),Coal rents (% of GDP),Exports of goods and services (% of GDP),"Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net outflows (% of GDP)",Forest rents (% of GDP),GDP (current US$),GNI (current US$),Gross capital formation (% of GDP),Gross domestic savings (% of GDP),Gross national expenditure (% of GDP),Imports of goods and services (% of GDP),"Inflation, GDP deflator (annual %)","International tourism, expenditures (current US$)",Merchandise exports (current US$),Merchandise imports (current US$),Trade (% of GDP),Value Added (% of GDP),Bank assets ratio (% of GDP),Claims on economy (% of GDP),Current Expenditure (% of GDP),Domestic credit (% of GDP),Current rents (% of GDP),Recieved revenue (% of GDP)
Afghanistan,AFG,1990,15989594152.444445,1645007932.55625,32.24955711,0.12062876746153847,0.1570223874375,21.809308137937503,1.246204019470588,0.15387972056249996,0.3933063000000001,13694530595.411764,18654358572.5,36.810364865,-3.0998981133750014,134.15739225000002,61.22712872000002,6.680571034,121900000.0,235000000.0,936000000.0,139.85539686692314,111.01295078062502,66.54678767456731,-6.6592532510769225,183.7078241190125,11.022209910615384,0.6436366259374999,19.463263452757577
Afghanistan,AFG,1991,15989594152.444445,1645007932.55625,32.24955711,0.12062876746153847,0.1570223874375,21.809308137937503,1.246204019470588,0.15387972056249996,0.3933063000000001,13694530595.411764,18654358572.5,36.810364865,-3.0998981133750014,134.15739225000002,61.22712872000002,6.680571034,121900000.0,189000000.0,443000000.0,139.85539686692314,111.01295078062502,66.54678767456731,-6.6592532510769225,183.7078241190125,11.022209910615384,0.6436366259374999,19.463263452757577
Afghanistan,AFG,1992,15989594152.444445,1645007932.55625,32.24955711,0.12062876746153847,0.1570223874375,21.809308137937503,1.246204019470588,0.15387972056249996,0.3933063000000001,13694530595.411764,18654358572.5,36.810364865,-3.0998981133750014,134.15739225000002,61.22712872000002,6.680571034,121900000.0,181000000.0,398000000.0,139.85539686692314,111.01295078062502,66.54678767456731,-6.6592532510769225,183.7078241190125,11.022209910615384,0.6436366259374999,19.463263452757577
Afghanistan,AFG,1993,15989594152.444445,1645007932.55625,32.24955711,0.12062876746153847,0.1570223874375,21.809308137937503,1.246204019470588,0.15387972056249996,0.3933063000000001,13694530595.411764,18654358572.5,36.810364865,-3.0998981133750014,134.15739225000002,61.22712872000002,6.680571034,121900000.0,688000000.0,465000000.0,139.85539686692314,111.01295078062502,66.54678767456731,-6.6592532510769225,183.7078241190125,11.022209910615384,0.6436366259374999,19.463263452757577
Afghanistan,AFG,1994,15989594152.444445,1645007932.55625,32.24955711,0.12062876746153847,0.1570223874375,21.809308137937503,1.246204019470588,0.15387972056249996,0.3933063000000001,13694530595.411764,18654358572.5,36.810364865,-3.0998981133750014,134.15739225000002,61.22712872000002,6.680571034,121900000.0,105000000.0,391000000.0,139.85539686692314,111.01295078062502,66.54678767456731,-6.6592532510769225,183.7078241190125,11.022209910615384,0.6436366259374999,19.463263452757577
Afghanistan,AFG,1995,15989594152.444445,1645007932.55625,32.24955711,0.12062876746153847,0.1570223874375,21.809308137937503,1.246204019470588,0.15387972056249996,0.3933063000000001,13694530595.411764,18654358572.5,36.810364865,-3.0998981133750014,134.15739225000002,61.22712872000002,6.680571034,121900000.0,166000000.0,387000000.0,139.85539686692314,111.01295078062502,66.54678767456731,-6.6592532510769225,183.7078241190125,11.022209910615384,0.6436366259374999,19.463263452757577
Afghanistan,AFG,1996,15989594152.444445,1645007932.55625,32.24955711,0.12062876746153847,0.1570223874375,21.809308137937503,1.246204019470588,0.15387972056249996,0.3933063000000001,13694530595.411764,18654358572.5,36.810364865,-3.0998981133750014,134.15739225000002,61.22712872000002,6.680571034,121900000.0,128000000.0,661000000.0,139.85539686692314,111.01295078062502,66.54678767456731,-6.6592532510769225,183.7078241190125,11.022209910615384,0.6436366259374999,19.463263452757577
Afghanistan,AFG,1997,15989594152.444445,1645007932.55625,32.24955711,0.12062876746153847,0.1570223874375,21.809308137937503,1.246204019470588,0.15387972056249996,0.3933063000000001,13694530595.411764,18654358572.5,36.810364865,-3.0998981133750014,134.15739225000002,61.22712872000002,6.680571034,121900000.0,144000000.0,604000000.0,139.85539686692314,111.01295078062502,66.54678767456731,-6.6592532510769225,183.7078241190125,11.022209910615384,0.6436366259374999,19.463263452757577
Afghanistan,AFG,1998,15989594152.444445,1645007932.55625,32.24955711,0.12062876746153847,0.1570223874375,21.809308137937503,1.246204019470588,0.15387972056249996,0.3933063000000001,13694530595.411764,18654358572.5,36.810364865,-3.0998981133750014,134.15739225000002,61.22712872000002,6.680571034,121900000.0,159000000.0,462000000.0,139.85539686692314,111.01295078062502,66.54678767456731,-6.6592532510769225,183.7078241190125,11.022209910615384,0.6436366259374999,19.463263452757577
Afghanistan,AFG,1999,15989594152.444445,1645007932.55625,32.24955711,0.12062876746153847,0.1570223874375,21.809308137937503,1.246204019470588,0.15387972056249996,0.3933063000000001,13694530595.411764,18654358572.5,36.810364865,-3.0998981133750014,134.15739225000002,61.22712872000002,6.680571034,121900000.0,166000000.0,1012000000.0,139.85539686692314,111.01295078062502,66.54678767456731,-6.6592532510769225,183.7078241190125,11.022209910615384,0.6436366259374999,19.463263452757577
Afghanistan,AFG,2000,15989594152.444445,1645007932.55625,32.24955711,0.12062876746153847,0.1570223874375,21.809308137937503,1.246204019470588,0.15387972056249996,0.3933063000000001,13694530595.411764,18654358572.5,36.810364865,-3.0998981133750014,134.15739225000002,61.22712872000002,6.680571034,121900000.0,137000000.0,1176000000.0,139.85539686692314,111.01295078062502,66.54678767456731,-6.6592532510769225,183.7078241190125,11.022209910615384,0.6436366259374999,19.463263452757577
Afghanistan,AFG,2001,15989594152.444445,1645007932.55625,32.24955711,0.12062876746153847,0.1570223874375,21.809308137937503,1.246204019470588,0.15387972056249996,0.3933063000000001,13694530595.411764,18654358572.5,36.810364865,-3.0998981133750014,134.15739225000002,61.22712872000002,6.680571034,121900000.0,68000000.0,1696000000.0,139.85539686692314,111.01295078062502,66.54678767456731,-6.6592532510769225,183.7078241190125,11.022209910615384,0.6436366259374999,19.463263452757577
Afghanistan,AFG,2002,15989594152.444445,338598391.7,32.24955711,0.056436117,0.004551960999999999,32.77984127,1.232991823,0.15387972056249996,0.959142384,4055176933.0,18654358572.5,25.11457156,-19.470220433999998,144.6798179,70.32936157,6.680571034,121900000.0,100000000.0,2452000000.0,180.45998516563634,117.41192565000001,66.54678767456731,-6.6592532510769225,196.47719647703332,11.022209910615384,1.2642706590000001,19.463263452757577
